Date,Year,Month,DayName,YearMonth,YearQuarter,YearWeek,WorkingDay,DaysFromNow,WeeksFromNow,MonthsFromNow,QuartersFromNow,YearsFromNow
2017-06-01 00:00:00.000,2017,​​​​​​Jun,​​Thu,2017 ​​​​​​Jun,2017Q2,201722,Y,-2457,-351,-80,-27,-7
2017-06-08 00:00:00.000,2017,​​​​​​Jun,​​Thu,2017 ​​​​​​Jun,2017Q2,201723,Y,-2450,-350,-80,-27,-7
2017-06-15 00:00:00.000,2017,​​​​​​Jun,​​Thu,2017 ​​​​​​Jun,2017Q2,201724,Y,-2443,-349,-80,-27,-7
2017-06-22 00:00:00.000,2017,​​​​​​Jun,​​Thu,2017 ​​​​​​Jun,2017Q2,201725,Y,-2436,-348,-80,-27,-7
2017-06-29 00:00:00.000,2017,​​​​​​Jun,​​Thu,2017 ​​​​​​Jun,2017Q2,201726,Y,-2429,-347,-80,-27,-7
2017-07-06 00:00:00.000,2017,​​​​​Jul,​​Thu,2017 ​​​​​Jul,2017Q3,201727,Y,-2422,-346,-79,-26,-7
2017-07-13 00:00:00.000,2017,​​​​​Jul,​​Thu,2017 ​​​​​Jul,2017Q3,201728,Y,-2415,-345,-79,-26,-7
2017-07-20 00:00:00.000,2017,​​​​​Jul,​​Thu,2017 ​​​​​Jul,2017Q3,201729,Y,-2408,-344,-79,-26,-7
2017-07-27 00:00:00.000,2017,​​​​​Jul,​​Thu,2017 ​​​​​Jul,2017Q3,201730,Y,-2401,-343,-79,-26,-7
2017-08-03 00:00:00.000,2017,​​​​Aug,​​Thu,2017 ​​​​Aug,2017Q3,201731,Y,-2394,-342,-78,-26,-7
2017-08-10 00:00:00.000,2017,​​​​Aug,​​Thu,2017 ​​​​Aug,2017Q3,201732,Y,-2387,-341,-78,-26,-7
2017-08-17 00:00:00.000,2017,​​​​Aug,​​Thu,2017 ​​​​Aug,2017Q3,201733,Y,-2380,-340,-78,-26,-7
2017-08-24 00:00:00.000,2017,​​​​Aug,​​Thu,2017 ​​​​Aug,2017Q3,201734,Y,-2373,-339,-78,-26,-7
2017-08-31 00:00:00.000,2017,​​​​Aug,​​Thu,2017 ​​​​Aug,2017Q3,201735,Y,-2366,-338,-78,-26,-7
2017-09-07 00:00:00.000,2017,​​​Sep,​​Thu,2017 ​​​Sep,2017Q3,201736,Y,-2359,-337,-77,-26,-7
2017-09-14 00:00:00.000,2017,​​​Sep,​​Thu,2017 ​​​Sep,2017Q3,201737,Y,-2352,-336,-77,-26,-7
2017-09-21 00:00:00.000,2017,​​​Sep,​​Thu,2017 ​​​Sep,2017Q3,201738,Y,-2345,-335,-77,-26,-7
2017-09-28 00:00:00.000,2017,​​​Sep,​​Thu,2017 ​​​Sep,2017Q3,201739,Y,-2338,-334,-77,-26,-7
2017-10-05 00:00:00.000,2017,​​Oct,​​Thu,2017 ​​Oct,2017Q4,201740,Y,-2331,-333,-76,-25,-7
2017-10-12 00:00:00.000,2017,​​Oct,​​Thu,2017 ​​Oct,2017Q4,201741,Y,-2324,-332,-76,-25,-7
2017-10-19 00:00:00.000,2017,​​Oct,​​Thu,2017 ​​Oct,2017Q4,201742,Y,-2317,-331,-76,-25,-7
2017-10-26 00:00:00.000,2017,​​Oct,​​Thu,2017 ​​Oct,2017Q4,201743,Y,-2310,-330,-76,-25,-7
2017-11-02 00:00:00.000,2017,​Nov,​​Thu,2017 ​Nov,2017Q4,201744,Y,-2303,-329,-75,-25,-7
2017-11-09 00:00:00.000,2017,​Nov,​​Thu,2017 ​Nov,2017Q4,201745,Y,-2296,-328,-75,-25,-7
2017-11-16 00:00:00.000,2017,​Nov,​​Thu,2017 ​Nov,2017Q4,201746,Y,-2289,-327,-75,-25,-7
2017-11-23 00:00:00.000,2017,​Nov,​​Thu,2017 ​Nov,2017Q4,201747,Y,-2282,-326,-75,-25,-7
2017-11-30 00:00:00.000,2017,​Nov,​​Thu,2017 ​Nov,2017Q4,201748,Y,-2275,-325,-75,-25,-7
2017-12-07 00:00:00.000,2017,Dec,​​Thu,2017 Dec,2017Q4,201749,Y,-2268,-324,-74,-25,-7
2017-12-14 00:00:00.000,2017,Dec,​​Thu,2017 Dec,2017Q4,201750,Y,-2261,-323,-74,-25,-7
2017-12-21 00:00:00.000,2017,Dec,​​Thu,2017 Dec,2017Q4,201751,Y,-2254,-322,-74,-25,-7
2017-12-28 00:00:00.000,2017,Dec,​​Thu,2017 Dec,2017Q4,201752,Y,-2247,-321,-74,-25,-7
2018-01-04 00:00:00.000,2018,​​​​​​​​​​​Jan,​​Thu,2018 ​​​​​​​​​​​Jan,2018Q1,201801,Y,-2240,-320,-73,-24,-6
2018-01-11 00:00:00.000,2018,​​​​​​​​​​​Jan,​​Thu,2018 ​​​​​​​​​​​Jan,2018Q1,201802,Y,-2233,-319,-73,-24,-6
2018-01-18 00:00:00.000,2018,​​​​​​​​​​​Jan,​​Thu,2018 ​​​​​​​​​​​Jan,2018Q1,201803,Y,-2226,-318,-73,-24,-6
2018-01-25 00:00:00.000,2018,​​​​​​​​​​​Jan,​​Thu,2018 ​​​​​​​​​​​Jan,2018Q1,201804,Y,-2219,-317,-73,-24,-6
2018-02-01 00:00:00.000,2018,​​​​​​​​​​Feb,​​Thu,2018 ​​​​​​​​​​Feb,2018Q1,201805,Y,-2212,-316,-72,-24,-6
2018-02-08 00:00:00.000,2018,​​​​​​​​​​Feb,​​Thu,2018 ​​​​​​​​​​Feb,2018Q1,201806,Y,-2205,-315,-72,-24,-6
