Category,Subcategory,Color,ProductID,Launch,Product,UnitCost,UnitPrice,Discontinue
"Computers","Laptops","Black",338,2012-07-07 00:00:00.000,"Fabrikam Laptop19W M9800 Black",397.25,1199,2039-09-12 00:00:00.000
"Computers","Laptops","Black",339,2016-10-21 00:00:00.000,"Fabrikam Laptop17W M7080 Black",404.63,879.9,2024-08-22 00:00:00.000
"Computers","Laptops","Black",340,2012-11-19 00:00:00.000,"Fabrikam Laptop17 M7000 Black",376.63,819,2028-10-03 00:00:00.000
"Computers","Laptops","Black",341,2017-03-05 00:00:00.000,"Fabrikam Laptop16W M6080 Black",444.69,967,2041-01-29 00:00:00.000
"Computers","Laptops","Black",342,2013-04-02 00:00:00.000,"Fabrikam Laptop16 M6000 Black",275.46,599,2017-10-23 00:00:00.000
"Computers","Laptops","Black",343,2017-07-17 00:00:00.000,"Fabrikam Laptop19 M9000 Black",364.12,1099,2030-02-18 00:00:00.000
"Computers","Laptops","Black",362,2016-12-08 00:00:00.000,"Adventure Works Laptop19 X1900 Black",430.38,1299,2017-11-22 00:00:00.000
"Computers","Laptops","Black",363,2013-01-05 00:00:00.000,"Adventure Works Laptop15 M1500 Black",321.44,699,2022-01-01 00:00:00.000
"Computers","Laptops","Black",364,2017-04-21 00:00:00.000,"Adventure Works Laptop12 M1200 Black",195.24,382.95,2034-04-29 00:00:00.000
"Computers","Laptops","Black",365,2013-05-19 00:00:00.000,"Adventure Works Laptop16 M1600 Black",275.46,599,2038-06-08 00:00:00.000
"Computers","Laptops","Black",366,2017-09-03 00:00:00.000,"Adventure Works Laptop15.4W M1548 Black",348.58,758,2023-05-20 00:00:00.000
"Computers","Laptops","Black",367,2013-10-01 00:00:00.000,"Adventure Works Laptop8.9 E0890 Black",166.2,326,2027-06-30 00:00:00.000
"Computers","Laptops","Black",390,2013-11-17 00:00:00.000,"WWI Laptop19W X0196 Black",430.38,1299,2020-09-27 00:00:00.000
"Computers","Laptops","Black",391,2018-03-04 00:00:00.000,"WWI Laptop15 M0150 Black",321.44,699,2033-01-24 00:00:00.000
